,岗位名称,薪资待遇,岗位详情,岗位地区,公司福利,公司名称,岗位需要技能,salary1,salary2,学历要求,工作经验要求,福利数量,需求技能数量,公司类型,融资情况,公司人数,score,Cluster,X,Y
0,JAVA软件开发工程师,10-15K·14薪,1-3年，本科,60,加班补助，交通补助，五险一金，零食下午茶，节日福利，定期体检，带薪年假，年终奖,南大智能,Oracle，Linux，SQL，数据结构，Spring，后端开发,14,12.5,6,7,8,6,计算机软件,4,7,0.22819631134729607,4,0.04116496,-0.26153016
1,软件开发工程师,15-30K,经验不限，本科,11,年终奖，节日福利，带薪年假，股票期权，加班补助，零食下午茶，离职补偿，免费班车，餐补，补充医疗保险，交通补助，全勤奖，五险一金，定期体检，通讯补贴，员工旅游，住房补贴,华为技术有限公司,Java，架构师，后端工程师，Python,12,22.5,6,10,17,4,计算机软件,4,10,0.24788996561425447,4,0.53189296,-1.9452254
2,软件开发工程师,15-20K,3-5年，大专,199,零食下午茶，五险一金，员工旅游,信友科技,CSS，Spring，MySQL，Android，Framework，SQL,12,17.5,5,6,3,6,计算机软件,4,5,0.4860894029384182,0,-0.32425746,0.39696038
3,软件开发工程师,15-16K,1-3年，本科,5,五险一金，加班补助，全勤奖，年终奖,云非特,分布式技术，服务器配置，微服务架构，数据结构,12,15.5,6,7,4,4,旅游,4,7,0.12128790246952181,2,0.48230362,-0.056299232
4,互联网软件开发工程师/java程序员,9-10K·13薪,3-5年，学历不限,50,全勤奖，带薪年假，员工旅游，年终奖，补充医疗保险，零食下午茶,驰创数码,Java，Javascript，后端开发,13,9.5,1,6,6,3,计算机软件,4,5,0.14598311972491404,3,3.6698692,-0.3493054
5,软件开发工程师,5-10K,1-3年，大专,22,,华俊安科技,Java，Javascript，Linux,12,7.5,5,7,0,3,计算机服务,4,5,0.06908408877774305,2,1.0063668,0.22318782
6,软件开发工程师-OD,13-26K·14薪,经验不限，本科,50,夜班补助，保底工资，年终奖，法定节假日三薪，免费班车，补充医疗保险，意外险，节假日加班费，定期体检，加班补助，五险一金，绩效奖金，带薪年假，员工旅游，团建聚餐，零食下午茶，交通补助,华为云计算,Java，C/C++，Python，计算机/软件工程相关经验,14,19.5,6,10,17,4,计算机服务,4,10,0.3054079399812442,4,0.43811843,-1.8091085
7,高级软件开发工程师（Java）,18-25K·13薪,经验不限，本科,162,定期体检，带薪年假，通讯补贴，零食下午茶，五险一金，员工旅游，年终奖，节日福利，股票期权,天海宸光,分布式技术，消息队列，全栈开发，架构师，计算机软件,13,21.5,6,10,9,5,计算机软件,5,6,0.48577680525164113,0,-0.3201107,0.8295541
8,软件开发工程师,5-10K,1年以内，本科,1,,湖南壕鑫纺织有限公司,Java,12,7.5,6,8,0,1,服装/纺织/皮革,4,8,0.044076273835573596,2,1.1968817,1.1255217
9,软件开发工程师,15-30K·15薪,经验不限，本科,162,企业年金，意外险，团建聚餐，补充医疗保险，法定节假日三薪，零食下午茶，免费班车，定期体检，底薪加提成，工龄奖，员工旅游，年终奖，加班补助，五险一金，保底工资，节假日加班费，生日福利,华为云计算,Python，MySQL，C/C++,15,22.5,6,10,17,3,互联网,4,10,0.5357924351359801,4,-0.7556043,-0.7316939
