,岗位名称,薪资待遇,岗位地区,公司福利,公司名称,岗位需要技能,salary1,学历要求,工作经验要求,福利数量,需求技能数量,公司类型,融资情况,公司人数
0,JAVA软件开发工程师,12.5,南京,加班补助，交通补助，五险一金，零食下午茶，节日福利，定期体检，带薪年假，年终奖,南大智能,Oracle，Linux，SQL，数据结构，Spring，后端开发,14,本科,1-3年,8,6,计算机软件,未融资,100-499人
1,软件开发工程师,22.5,西安,年终奖，节日福利，带薪年假，股票期权，加班补助，零食下午茶，离职补偿，免费班车，餐补，补充医疗保险，交通补助，全勤奖，五险一金，定期体检，通讯补贴，员工旅游，住房补贴,华为技术有限公司,Java，架构师，后端工程师，Python,12,本科,经验不限,17,4,计算机软件,不需要融资,10000人以上
2,软件开发工程师,17.5,上海,零食下午茶，五险一金，员工旅游,信友科技,CSS，Spring，MySQL，Android，Framework，SQL,12,大专,3-5年,3,6,计算机软件,未融资,0-20人
3,软件开发工程师,15.5,金华,五险一金，加班补助，全勤奖，年终奖,云非特,分布式技术，服务器配置，微服务架构，数据结构,12,本科,1-3年,4,4,旅游,不需要融资,100-499人
4,互联网软件开发工程师/java程序员,9.5,成都,全勤奖，带薪年假，员工旅游，年终奖，补充医疗保险，零食下午茶,驰创数码,Java，Javascript，后端开发,13,学历不限,3-5年,6,3,计算机软件,未融资,0-20人
5,软件开发工程师,7.5,重庆,,华俊安科技,Java，Javascript，Linux,12,大专,1-3年,0,3,计算机服务,未融资,0-20人
6,软件开发工程师-OD,19.5,成都,夜班补助，保底工资，年终奖，法定节假日三薪，免费班车，补充医疗保险，意外险，节假日加班费，定期体检，加班补助，五险一金，绩效奖金，带薪年假，员工旅游，团建聚餐，零食下午茶，交通补助,华为云计算,Java，C/C++，Python，计算机/软件工程相关经验,14,本科,经验不限,17,4,计算机服务,不需要融资,10000人以上
7,高级软件开发工程师（Java）,21.5,深圳,定期体检，带薪年假，通讯补贴，零食下午茶，五险一金，员工旅游，年终奖，节日福利，股票期权,天海宸光,分布式技术，消息队列，全栈开发，架构师，计算机软件,13,本科,经验不限,9,5,计算机软件,天使轮,20-99人
8,软件开发工程师,7.5,永州,,湖南壕鑫纺织有限公司,Java,12,本科,1年以内,0,1,服装/纺织/皮革,未知,500-999人
9,软件开发工程师,22.5,深圳,企业年金，意外险，团建聚餐，补充医疗保险，法定节假日三薪，零食下午茶，免费班车，定期体检，底薪加提成，工龄奖，员工旅游，年终奖，加班补助，五险一金，保底工资，节假日加班费，生日福利,华为云计算,Python，MySQL，C/C++,15,本科,经验不限,17,3,互联网,不需要融资,10000人以上
10,软件开发工程师,22.5,广州,补充医疗保险，节日福利，年终奖，五险一金，餐补，定期体检，加班补助，员工旅游，股票期权，零食下午茶,华为,Java，C/C++，Python,14,本科,经验不限,10,3,计算机软件,不需要融资,10000人以上
11,高级软件开发工程师,10.5,常州,包吃，节日福利，免费工装，意外险，免费停车，包住，绩效奖金，工龄津贴，带薪年假，餐补，工龄奖，五险一金,常州德龙,不限，Java，计算机/软件工程相关经验，Java开发经验,12,本科,1-3年,12,4,机械设备/机电/重工,未融资,100-499人
12,高级软件开发工程师,10,南京,定期体检，员工旅游，带薪年假，法定节假日三薪，五险一金，团建聚餐，年终奖,知某数信息科技,Java，Spring，JavaScript，Java开发经验,14,本科,1-3年,7,4,计算机软件,未知,20-99人
13,5G核心网软件开发工程师,45,北京,餐补，定期体检，节日福利，五险一金，补充医疗保险，零食下午茶，年终奖，股票期权，员工旅游，加班补助,华为,Python，架构师，PHP，后端开发，c/c++，Java，go,12,本科,经验不限,10,7,计算机软件,不需要融资,10000人以上
14,软件开发(后端),8.5,广州,,郑州凯普,架构师，SSM，SSH,12,大专,经验不限,0,3,医疗/护理/卫生,未知,1000-9999人
15,软件开发-JAVA开发,11.5,嘉兴,,山东华清,Java，JavaScript，分布式技术，微服务架构,13,大专,3-5年,0,4,计算机服务,未知,100-499人
