岗位名称,薪资待遇,岗位详情,岗位地区,公司福利,公司名称,公司规模,岗位需要技能
java软件开发工程师,20-40K·16薪,经验不限 本科,武汉·江夏区·光谷东,节日福利，加班补助，保底工资，带薪年假，五险一金，年终奖，绩效奖金，员工旅游，定期体检，团建聚餐,华为技术武研所,通信/网络设备不需要融资10000人以上,['JavaMVC开发微服务架构Linux后端开发MySQL']
软件开发工程师,18-30K,3-5年 本科,南京·雨花台区·软件大道,五险一金，年终奖，通讯补贴，定期体检，加班补助，股票期权，节日福利，免费班车，零食下午茶，交通补助，住房补贴，带薪年假，员工旅游，补充医疗保险,华为终端有限公司,通信/网络设备不需要融资10000人以上,['后端开发WEB开发软件工程师Spring']
软件开发工程师,18-30K·14薪,经验不限 本科,杭州·滨江区·长河,员工旅游，股票期权，交通补助，加班补助，全勤奖，五险一金，年终奖，定期体检，零食下午茶，通讯补贴，餐补，补充医疗保险，免费班车，节日福利，住房补贴，带薪年假，离职补偿,华为技术有限公司,计算机软件不需要融资10000人以上,['微服务架构SpringMVCRedis后端开发Linux']
软件开发工程师,5-7K,3-5年 大专,九江·濂溪区·十里,,中科瓦力,智能硬件20-99人,['软件工程师物联网架构师系统集成工程师人工智能']
软件开发工程师,15-30K,1-3年 本科,南京·雨花台区·安德门,股票期权，年终奖，定期体检，员工旅游，餐补，零食下午茶，节日福利，补充医疗保险，加班补助，五险一金,华为,计算机软件不需要融资10000人以上,['Linux软件工程师']
软件开发工程师,20-40K,经验不限 本科,南京·雨花台区·南京南站,股票期权，五险一金，定期体检，住房补贴，带薪年假，补充医疗保险，离职补偿，餐补，员工旅游，年终奖，加班补助，交通补助，全勤奖，节日福利，通讯补贴，免费班车，零食下午茶,华为技术有限公司,计算机软件不需要融资10000人以上,['PythonHTMLCSSWEB开发后端开发全栈开发']
软件开发工程师,8-13K·13薪,1-3年 大专,金华·义乌市·银海小区,绩效奖金，团建聚餐，年终奖，生日福利，全勤奖，节日福利，高温补贴，餐补,义乌市澜越贸易有...,电子商务0-20人,['JavaC/C++MySQL软件开发应用软件']
软件开发工程师,5-10K,1-3年 大专,重庆·渝北区·龙溪,,华俊安科技,计算机服务未融资0-20人,['JavaJavascriptLinux']
软件开发工程师,6-11K,在校/应届 本科,成都·锦江区·柳江,生日福利，节日福利，定期体检，团建聚餐，带薪年假，五险一金，节假日加班费，工龄奖，年终奖，员工旅游，加班补助,久远银海,计算机软件已上市1000-9999人,['Javaweb前端全栈开发']
高级JAVA软件开发工程师,12-18K·14薪,经验不限 本科,南京·建邺区·奥体,五险一金，年终奖，定期体检，带薪年假，补充医疗保险，节日福利,金绿汇成,计算机软件0-20人,['Java、Vue、echarts']
软件开发工程师,15-30K·14薪,经验不限 本科,西安·长安区·紫薇田园都市,夜班补助，保底工资，意外险，补充医疗保险，五险一金，定期体检，员工旅游，团建聚餐，节假日加班费，法定节假日三薪，零食下午茶，绩效奖金，带薪年假，交通补助，年终奖，加班补助，免费班车,华为云计算,计算机服务不需要融资10000人以上,['JavaRedisMySQL']
5G核心网软件开发工程师,30-60K,经验不限 本科,北京·海淀区·西北旺,餐补，定期体检，节日福利，五险一金，补充医疗保险，零食下午茶，年终奖，股票期权，员工旅游，加班补助,华为,计算机软件不需要融资10000人以上,['Python架构师PHP后端开发c/c++Javago']
Java高级应用软件开发,15-25K,3-5年 本科,杭州·滨江区·西兴,高温补贴，股票期权，定期体检，年终奖，免费班车，团建聚餐，交通补助，五险一金，餐补，补充医疗保险，免息住房借款，通讯补贴，生日福利，带薪年假,海康威视,计算机软件已上市10000人以上,['Java中间件系统架构']
软件开发前端、后端,7-8K,经验不限 大专,南昌·青山湖区·京东,,江西新华电脑学校,院校1000-9999人,['后端工程师SpringC/C++MySQL']
java软件开发人员,6-11K,1-3年 大专,临沂·兰山区·鲁商中心,,临沂阳光科技有限公司,互联网未融资20-99人,['网络协议OracleSQL ServerLinuxWindows架构师']
Java 软件工程师,7-12K,3-5年 大专,东营·东营区·北一路,,丰源金盛,信息安全未融资20-99人,['Java开发经验全栈工程师Java中大型项目架构设计经验']
高级软件工程师,18-26K·14薪,5-10年 本科,南京·浦口区·江浦,年终奖，带薪年假，餐补，通讯补贴，五险一金，住房补贴，加班补助，绩效奖金，定期体检，节日福利，补充医疗保险，意外险，高温补贴，交通补助，有无线网，包吃，员工旅游，工龄奖,钛能科技,电力/热力/燃气/水利不需要融资,['全栈工程师JavaMyBatisJavaScriptJava开发经验']
软件工程师,14-28K,1-3年 大专,吉林·丰满区·厦门街,,玖锋科技,计算机软件20-99人,['PythonAndroidOracleMySQLSQL ServerDB2']
软件工程师,10-15K,5-10年 本科,潍坊·潍城区·豪德,免费工装，餐补，通讯补贴，六险，节日福利,智迈德股份有限公...,机械设备/机电/重工不需要融资,['全栈工程师Java后端工程师计算机/软件工程相关经验']
软件工程师,5-8K,3-5年 本科,桂林·灵川县·灵川县中心城区,带薪年假，工龄奖，交通补助，通讯补贴，年终奖，定期体检，意外险，五险一金,凯歌科技,计算机软件不需要融资20-99人,['UnixJava全栈工程师全栈开发服务器配置架构师']
高级软件工程师,15-16K,3-5年 本科,廊坊,补充医疗保险，节日福利，餐补，带薪年假，交通补助，定期体检，五险一金,廊坊热景,电子/半导体/集成电路不需要融资,['JavaC/C++']
JAVA软件工程师,7-12K,1-3年 本科,嘉兴·南湖区·凌公塘路,绩效奖金，餐补，团建聚餐，股票期权，五险一金，带薪年假，零食下午茶，员工旅游,嘉兴安尚云信信息科技,计算机软件B轮20-99人,['JavaJava框架MySQL']
java软件工程师,9-13K,3-5年 本科,石家庄·裕华区·谈固,补充医疗保险，员工旅游，带薪年假，五险一金，节日福利，定期体检，年终奖,建广数科,计算机软件未融资1000-9999人,['后端工程师Java计算机/软件工程相关经验Java开发经验']
系统软件工程师,10-15K,1-3年 本科,长沙,节日福利，免费班车，五险一金，包吃，定期体检，带薪年假,威胜信息,仪器仪表/工业自动化已上市500-999人,['HTMLSpringNettySpringCloud']
资深物联网软件工程师,20-30K,5-10年 本科,上海·松江区·车墩,年终奖，通讯补贴，免费班车，员工旅游，定期体检，交通补助，餐补，带薪年假，五险一金，节日福利,擎信公司,通信/网络设备不需要融资20-99人,['SQLMVC开发SpringOracleNoSQL']
分布式标签系统软件工程师,11-16K,1-3年 本科,南京·江宁区·麒麟镇,定期体检，补充医疗保险，五险一金,南研院,通信/网络设备不需要融资100-499人,['分布式技术网络协议Redis云计算']
系统软件工程师（上市公司+年终奖+包食宿）,7-10K·13薪,3-5年 大专,宜春,节日福利，年终奖，通讯补贴，员工旅游，补充医疗保险，交通补助，定期体检，包吃，住房补贴，加班补助，五险一金，带薪年假,明冠,新能源已上市500-999人,['全栈工程师后端工程师JavaJava开发经验']
软件开发工程师,15-25K,经验不限 大专,北京·房山区·良乡,免费班车，餐补，定期体检，员工旅游，带薪年假，包吃，住房补贴，年终奖，交通补助，节日福利,恒天云端,船舶/航空/航天未融资20-99人,['软件工程师']
软件开发工程师,9-13K·13薪,3-5年 大专,无锡·新吴区·鸿山,员工旅游，补充医疗保险，节日福利，包吃，全勤奖，带薪年假，免费班车，住房补贴，加班补助，通讯补贴，五险一金，餐补，定期体检,威唐工业,机械设备/机电/重工已上市500-999人,['HTMLCSSAJAXFrameworkOracleMySQL']
PHP软件开发工程师,8-9K,1-3年 本科,珠海,国家法定休息，补充医疗保险，生日会福利，带薪年假，通讯补贴，五险，员工旅游,广东米讯,计算机服务未融资20-99人,['PHPHTML5HTML/CSS']
