,岗位名称,薪资待遇,岗位详情,岗位地区,公司福利,公司名称,岗位需要技能,salary1,salary2,学历要求,工作经验要求,福利数量,需求技能数量,公司类型,融资情况,公司人数,score
0,JAVA软件开发工程师,10-15K·14薪,1-3年，本科,南京,加班补助，交通补助，五险一金，零食下午茶，节日福利，定期体检，带薪年假，年终奖,南大智能,Oracle，Linux，SQL，数据结构，Spring，后端开发,14,12.5,本科,1-3年,8,6,计算机软件,未融资,100-499人,0.3645391922296772
1,软件开发工程师,15-30K,经验不限，本科,西安,年终奖，节日福利，带薪年假，股票期权，加班补助，零食下午茶，离职补偿，免费班车，餐补，补充医疗保险，交通补助，全勤奖，五险一金，定期体检，通讯补贴，员工旅游，住房补贴,华为技术有限公司,Java，架构师，后端工程师，Python,12,22.5,本科,经验不限,17,4,计算机软件,不需要融资,10000人以上,0.6242436451984834
2,软件开发工程师,15-20K,3-5年，大专,上海,零食下午茶，五险一金，员工旅游,信友科技,CSS，Spring，MySQL，Android，Framework，SQL,12,17.5,大专,3-5年,3,6,计算机软件,未融资,0-20人,0.2855266238814653
3,软件开发工程师,15-16K,1-3年，本科,金华,五险一金，加班补助，全勤奖，年终奖,云非特,分布式技术，服务器配置，微服务架构，数据结构,12,15.5,本科,1-3年,4,4,旅游,不需要融资,100-499人,0.2434869437366625
4,互联网软件开发工程师/java程序员,9-10K·13薪,3-5年，学历不限,成都,全勤奖，带薪年假，员工旅游，年终奖，补充医疗保险，零食下午茶,驰创数码,Java，Javascript，后端开发,13,9.5,学历不限,3-5年,6,3,计算机软件,未融资,0-20人,0.2269203808871494
5,软件开发工程师,5-10K,1-3年，大专,重庆,,华俊安科技,Java，Javascript，Linux,12,7.5,大专,1-3年,0,3,计算机服务,未融资,0-20人,0.07428232064523724
6,软件开发工程师-OD,13-26K·14薪,经验不限，本科,成都,夜班补助，保底工资，年终奖，法定节假日三薪，免费班车，补充医疗保险，意外险，节假日加班费，定期体检，加班补助，五险一金，绩效奖金，带薪年假，员工旅游，团建聚餐，零食下午茶，交通补助,华为云计算,Java，C/C++，Python，计算机/软件工程相关经验,14,19.5,本科,经验不限,17,4,计算机服务,不需要融资,10000人以上,0.6520943587142134
7,高级软件开发工程师（Java）,18-25K·13薪,经验不限，本科,深圳,定期体检，带薪年假，通讯补贴，零食下午茶，五险一金，员工旅游，年终奖，节日福利，股票期权,天海宸光,分布式技术，消息队列，全栈开发，架构师，计算机软件,13,21.5,本科,经验不限,9,5,计算机软件,天使轮,20-99人,0.49402189856842876
8,软件开发工程师,5-10K,1年以内，本科,永州,,湖南壕鑫纺织有限公司,Java,12,7.5,本科,1年以内,0,1,服装/纺织/皮革,未知,500-999人,0.1645940657184047
9,软件开发工程师,15-30K·15薪,经验不限，本科,深圳,企业年金，意外险，团建聚餐，补充医疗保险，法定节假日三薪，零食下午茶，免费班车，定期体检，底薪加提成，工龄奖，员工旅游，年终奖，加班补助，五险一金，保底工资，节假日加班费，生日福利,华为云计算,Python，MySQL，C/C++,15,22.5,本科,经验不限,17,3,互联网,不需要融资,10000人以上,0.7107281618195497
10,软件开发工程师,15-30K·14薪,经验不限，本科,广州,补充医疗保险，节日福利，年终奖，五险一金，餐补，定期体检，加班补助，员工旅游，股票期权，零食下午茶,华为,Java，C/C++，Python,14,22.5,本科,经验不限,10,3,计算机软件,不需要融资,10000人以上,0.5918245410328601
11,高级软件开发工程师,8-13K,1-3年，本科,常州,包吃，节日福利，免费工装，意外险，免费停车，包住，绩效奖金，工龄津贴，带薪年假，餐补，工龄奖，五险一金,常州德龙,不限，Java，计算机/软件工程相关经验，Java开发经验,12,10.5,本科,1-3年,12,4,机械设备/机电/重工,未融资,100-499人,0.2995942470673896
12,高级软件开发工程师,8-12K·14薪,1-3年，本科,南京,定期体检，员工旅游，带薪年假，法定节假日三薪，五险一金，团建聚餐，年终奖,知某数信息科技,Java，Spring，JavaScript，Java开发经验,14,10.0,本科,1-3年,7,4,计算机软件,未知,20-99人,0.2484132457298482
13,5G核心网软件开发工程师,30-60K,经验不限，本科,北京,餐补，定期体检，节日福利，五险一金，补充医疗保险，零食下午茶，年终奖，股票期权，员工旅游，加班补助,华为,Python，架构师，PHP，后端开发，c/c++，Java，go,12,45.0,本科,经验不限,10,7,计算机软件,不需要融资,10000人以上,0.8397208064527668
14,软件开发(后端),6-11K,经验不限，大专,广州,,郑州凯普,架构师，SSM，SSH,12,8.5,大专,经验不限,0,3,医疗/护理/卫生,未知,1000-9999人,0.3720421548799285
15,软件开发-JAVA开发,9-14K·13薪,3-5年，大专,嘉兴,,山东华清,Java，JavaScript，分布式技术，微服务架构,13,11.5,大专,3-5年,0,4,计算机服务,未知,100-499人,0.19599092909649465
16,Java高级应用软件开发,15-25K,3-5年，本科,杭州,高温补贴，股票期权，定期体检，年终奖，免费班车，团建聚餐，交通补助，五险一金，餐补，补充医疗保险，免息住房借款，通讯补贴，生日福利，带薪年假,海康威视,Java，中间件，系统架构,12,20.0,本科,3-5年,14,3,计算机软件,已上市,10000人以上,0.7272846332765763
17,软件工程师,3-5K,在校/应届，大专,襄阳,带薪年假，定期体检，补充医疗保险，员工旅游，年终奖，全勤奖，节日福利,湖北玖誉,Java，.NET，移动开发,12,4.0,大专,在校/应届,7,3,地产经纪/中介,未融资,100-499人,0.2590401481978969
18,软件工程师,8-12K,1-3年，本科,昆明,五险一金，绩效奖金，带薪年假，补充医疗保险，年终奖，节日福利，包吃，定期体检,中铝智能铜创科技...,Java,12,10.0,本科,1-3年,8,1,计算机服务,未融资,20-99人,0.13998414491733074
19,软件工程师,5-8K,3-5年，本科,桂林,带薪年假，工龄奖，交通补助，通讯补贴，年终奖，定期体检，意外险，五险一金,凯歌科技,Unix，Java，全栈工程师，全栈开发，服务器配置，架构师,12,6.5,本科,3-5年,8,6,计算机软件,不需要融资,20-99人,0.21166441604763334
20,软件工程师,8-10K,1-3年，本科,长沙,,泰嘉股份,HTML，PHP，CSS，MySQL，后端开发，WEB开发,12,9.0,本科,1-3年,0,6,机械设备/机电/重工,已上市,100-499人,0.4493745927358259
21,c#软件开发工程师/.net软件工程师,11-22K,经验不限，本科,上海,五险一金，加班补助，带薪年假，节日福利，零食下午茶,华规软件软件开发,C#，ASP.NET，MySQL,12,16.5,本科,经验不限,5,3,计算机软件,不需要融资,20-99人,0.35388690090375946
22,Sr. Software Engineer Radar软件工程师,11-20K,3-5年，本科,南京,,海拉南京研发中心,C语言,12,15.5,本科,3-5年,0,1,汽车零部件,未知,500-999人,0.1857918621925363
23,软件开发工程师|程序开发|前端|架构师,10-15K,3-5年，本科,洛阳,底薪加提成，绩效奖金，年终奖，带薪年假，保底工资，团建聚餐,今捷众创,Vue,12,12.5,本科,3-5年,6,1,培训机构,未融资,20-99人,0.1060463231925119
24,广告方向 - java资深开发工程师/架构师,40-50K·15薪,5-10年，本科,上海,节日福利，定期体检，年终奖，零食下午茶，员工旅游，免费班车，带薪年假，餐补，五险一金,喜马拉雅,分布式技术，微服务架构，NoSQL，MongoDB，架构师,15,45.0,本科,5-10年,9,5,移动互联网,D轮及以上,1000-9999人,0.8208442029638098
25,软件开发工程师,15-30K,经验不限，本科,南昌,加班补助，补充医疗保险，节日福利，零食下午茶，五险一金，定期体检，股票期权，餐补，员工旅游，年终奖,华为,c，c++，软件工程师，初级软件工程师，中级软件工程师,12,22.5,本科,经验不限,10,5,计算机软件,不需要融资,10000人以上,0.5798160307074411
26,app软件开发工程师,16-18K,1-3年，大专,北京,,铭嘉科技,Android客户端产品研发，架构设计/优化，Java，Kotlin,12,17.0,大专,1-3年,0,4,其他专业服务,未知,0-20人,0.24206980628227423
27,应用软件开发工程师,5-10K,5-10年，大专,台州,,芯韵科技,后端开发，软件工程师，MFC，WPF，VC++，MySQL,12,7.5,大专,5-10年,0,6,电子/半导体/集成电路,未知,0-20人,0.08631407324870541
28,web/Java软件开发工程师,8-13K,1-3年，本科,北京,生日福利，年终奖，五险一金，员工旅游，定期体检，带薪年假，节日福利,中科信利,前端开发,12,10.5,本科,1-3年,7,1,计算机软件,不需要融资,100-499人,0.28433569152809096
